country,esco,date,count
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-01-01,127
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-09-01,18442
ITALIA,"Plant and machine operators, and assemblers",2016-02-01,2304
IRELAND,Service and sales workers,2015-05-01,114
DEUTSCHLAND,Professionals,2013-03-01,39
UNITED KINGDOM,Technicians and associate professionals,2013-02-01,2
ČESKÁ REPUBLIKA,Professionals,2014-01-01,8
ITALIA,Elementary occupations,2016-02-01,1208
ITALIA,Professionals,2016-05-01,10759
UNITED KINGDOM,Clerical support workers,2015-07-01,39919
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-08-01,15
UNITED KINGDOM,Professionals,2016-01-01,87082
IRELAND,Managers,2016-03-01,6367
DEUTSCHLAND,Clerical support workers,2014-08-01,49
DEUTSCHLAND,Elementary occupations,2011-12-01,13
UNITED KINGDOM,Clerical support workers,2014-08-01,1
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-09-01,104
ITALIA,Professionals,2015-07-01,56279
ČESKÁ REPUBLIKA,Elementary occupations,2014-07-01,6
UNITED KINGDOM,Service and sales workers,2015-05-01,18974
UNITED KINGDOM,"Plant and machine operators, and assemblers",2015-10-01,3026
UNITED KINGDOM,Craft and related trades workers,2015-10-01,2976
UNITED KINGDOM,Elementary occupations,2016-04-01,10938
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-04-01,5
DEUTSCHLAND,Managers,2012-09-01,17
UNITED KINGDOM,Service and sales workers,2014-04-01,6
ČESKÁ REPUBLIKA,Professionals,2014-02-01,3
DEUTSCHLAND,Technicians and associate professionals,2016-01-01,34940
DEUTSCHLAND,Craft and related trades workers,2014-05-01,50
UNITED KINGDOM,Service and sales workers,2014-10-01,13
ITALIA,Professionals,2012-07-01,2
UNITED KINGDOM,Clerical support workers,2012-10-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-03-01,28
DEUTSCHLAND,Technicians and associate professionals,2015-08-01,30911
ITALIA,Clerical support workers,2015-07-01,23991
UNITED KINGDOM,Clerical support workers,2016-02-01,15569
ČESKÁ REPUBLIKA,Elementary occupations,2016-05-01,3224
ČESKÁ REPUBLIKA,Service and sales workers,2016-05-01,4426
UNITED KINGDOM,Professionals,2016-04-01,126235
DEUTSCHLAND,Managers,2016-02-01,5257
DEUTSCHLAND,Elementary occupations,2014-04-01,16
UNITED KINGDOM,Elementary occupations,2015-03-01,4
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2010-01-01,1
DEUTSCHLAND,Elementary occupations,2016-03-01,7818
ITALIA,Clerical support workers,2015-10-01,5338
DEUTSCHLAND,Service and sales workers,2013-05-01,5
DEUTSCHLAND,Elementary occupations,2013-02-01,30
DEUTSCHLAND,Clerical support workers,2012-07-01,8
DEUTSCHLAND,Clerical support workers,2015-03-01,252
DEUTSCHLAND,Managers,2013-02-01,14
UNITED KINGDOM,Clerical support workers,2014-10-01,7
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-03-01,6
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-04-01,4
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-02-01,2
DEUTSCHLAND,Service and sales workers,2011-12-01,1
UNITED KINGDOM,Elementary occupations,2014-02-01,1
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-12-01,40
UNITED KINGDOM,Craft and related trades workers,2016-03-01,11773
DEUTSCHLAND,Professionals,2014-05-01,52
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-06-01,18
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-03-01,3501
DEUTSCHLAND,Technicians and associate professionals,2014-05-01,16
ITALIA,Craft and related trades workers,2015-02-01,3
ITALIA,Craft and related trades workers,2014-07-01,1
ČESKÁ REPUBLIKA,Elementary occupations,2015-02-01,69
DEUTSCHLAND,Elementary occupations,2014-09-01,25
DEUTSCHLAND,Clerical support workers,2016-06-01,13529
IRELAND,Managers,2015-09-01,6847
UNITED KINGDOM,Craft and related trades workers,2015-09-01,13420
ČESKÁ REPUBLIKA,Managers,2016-04-01,391
ČESKÁ REPUBLIKA,Elementary occupations,2016-04-01,3026
DEUTSCHLAND,Elementary occupations,2012-05-01,9
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-07-01,23
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-01-01,10
DEUTSCHLAND,Elementary occupations,2013-01-01,16
UNITED KINGDOM,Clerical support workers,2014-05-01,2
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-09-01,2
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-01-01,1
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-05-01,140
ČESKÁ REPUBLIKA,Service and sales workers,2014-12-01,64
ITALIA,"Plant and machine operators, and assemblers",2015-06-01,5305
UNITED KINGDOM,Clerical support workers,2015-11-01,16231
ITALIA,Professionals,2015-04-01,1776
DEUTSCHLAND,Craft and related trades workers,2013-08-01,23
DEUTSCHLAND,Managers,2012-05-01,6
UNITED KINGDOM,Technicians and associate professionals,2014-06-01,15
DEUTSCHLAND,Managers,2014-07-01,14
ITALIA,Technicians and associate professionals,2013-04-01,1
DEUTSCHLAND,Managers,2011-11-01,3
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-08-01,2564
DEUTSCHLAND,Clerical support workers,2013-07-01,20
DEUTSCHLAND,Professionals,2013-06-01,20
UNITED KINGDOM,Managers,2013-11-01,6
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-04-01,126
ITALIA,Service and sales workers,2016-06-01,4015
DEUTSCHLAND,Professionals,2015-01-01,204
ČESKÁ REPUBLIKA,Managers,2014-10-01,5
UNITED KINGDOM,Managers,2014-07-01,23
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-03-01,2
UNITED KINGDOM,Elementary occupations,2014-07-01,1
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-05-01,3358
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-09-01,3675
ITALIA,Craft and related trades workers,2016-02-01,3456
ITALIA,Managers,2016-06-01,1109
DEUTSCHLAND,Craft and related trades workers,2015-11-01,47090
IRELAND,Craft and related trades workers,2015-09-01,269
IRELAND,Managers,2015-10-01,7592
DEUTSCHLAND,Professionals,2013-12-01,37
IRELAND,"Plant and machine operators, and assemblers",2016-01-01,148
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-07-01,2776
ITALIA,Service and sales workers,2015-11-01,3239
DEUTSCHLAND,Managers,2015-08-01,4718
IRELAND,Clerical support workers,2016-01-01,2057
UNITED KINGDOM,Elementary occupations,2016-06-01,14388
DEUTSCHLAND,Craft and related trades workers,2014-06-01,50
UNITED KINGDOM,Service and sales workers,2015-03-01,124
ITALIA,Technicians and associate professionals,2015-02-01,54
ČESKÁ REPUBLIKA,Elementary occupations,2014-01-01,1
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-01-01,4
ČESKÁ REPUBLIKA,Elementary occupations,2015-05-01,2366
DEUTSCHLAND,Service and sales workers,2015-04-01,762
ITALIA,Craft and related trades workers,2015-10-01,5276
IRELAND,Technicians and associate professionals,2016-04-01,8491
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-05-01,2
DEUTSCHLAND,Managers,2014-02-01,12
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-10-01,79
DEUTSCHLAND,Service and sales workers,2014-01-01,7
ČESKÁ REPUBLIKA,Clerical support workers,2014-05-01,3
ITALIA,"Plant and machine operators, and assemblers",2012-06-01,1
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-06-01,4736
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-02-01,7
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-10-01,3597
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2016-01-01,2896
IRELAND,Technicians and associate professionals,2015-11-01,7379
DEUTSCHLAND,Professionals,2016-05-01,20820
DEUTSCHLAND,Clerical support workers,2012-03-01,16
DEUTSCHLAND,Service and sales workers,2013-11-01,1
DEUTSCHLAND,Technicians and associate professionals,2012-10-01,12
UNITED KINGDOM,Technicians and associate professionals,2014-03-01,7
UNITED KINGDOM,Technicians and associate professionals,2012-10-01,1
DEUTSCHLAND,Technicians and associate professionals,2013-10-01,9
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-09-01,3256
IRELAND,Elementary occupations,2015-10-01,1082
UNITED KINGDOM,Clerical support workers,2014-04-01,2
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-06-01,2
ITALIA,Craft and related trades workers,2014-12-01,1
DEUTSCHLAND,Professionals,2016-04-01,6723
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-07-01,19
ČESKÁ REPUBLIKA,Elementary occupations,2014-12-01,24
UNITED KINGDOM,Elementary occupations,2015-08-01,15111
UNITED KINGDOM,Managers,2014-12-01,19
ITALIA,"Plant and machine operators, and assemblers",2011-07-01,1
ČESKÁ REPUBLIKA,Service and sales workers,2015-06-01,4494
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-08-01,74
IRELAND,Professionals,2016-06-01,8460
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-02-01,22
IRELAND,Craft and related trades workers,2016-02-01,231
DEUTSCHLAND,Elementary occupations,2013-09-01,1
IRELAND,Professionals,2016-01-01,12449
UNITED KINGDOM,Craft and related trades workers,2015-06-01,15144
DEUTSCHLAND,Craft and related trades workers,2013-05-01,18
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-08-01,367
DEUTSCHLAND,Managers,2013-03-01,6
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-02-01,5
DEUTSCHLAND,Clerical support workers,2014-03-01,32
DEUTSCHLAND,Clerical support workers,2015-10-01,50410
UNITED KINGDOM,Managers,2015-10-01,20201
ČESKÁ REPUBLIKA,Craft and related trades workers,2014-11-01,40
ITALIA,Technicians and associate professionals,2014-11-01,18
DEUTSCHLAND,Technicians and associate professionals,2013-07-01,9
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2014-12-01,7
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-01-01,1
ITALIA,Clerical support workers,2014-08-01,1
DEUTSCHLAND,Clerical support workers,2016-05-01,25383
DEUTSCHLAND,Technicians and associate professionals,2014-03-01,13
ITALIA,"Plant and machine operators, and assemblers",2016-04-01,3910
ČESKÁ REPUBLIKA,Managers,2015-08-01,440
ITALIA,Professionals,2016-01-01,5334
DEUTSCHLAND,Clerical support workers,2013-10-01,21
UNITED KINGDOM,Managers,2014-02-01,4
ČESKÁ REPUBLIKA,Service and sales workers,2016-01-01,3330
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-09-01,1458
ITALIA,Clerical support workers,2016-02-01,4181
UNITED KINGDOM,Technicians and associate professionals,2015-11-01,42772
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-02-01,5466
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-04-01,20
DEUTSCHLAND,Professionals,2011-12-01,9
ČESKÁ REPUBLIKA,Clerical support workers,2014-09-01,15
IRELAND,Elementary occupations,2015-05-01,27
DEUTSCHLAND,Managers,2014-12-01,18
UNITED KINGDOM,Service and sales workers,2013-09-01,1
ITALIA,Craft and related trades workers,2014-09-01,2
UNITED KINGDOM,Managers,2013-09-01,1
ITALIA,Managers,2016-05-01,1627
ČESKÁ REPUBLIKA,Professionals,2015-03-01,368
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-06-01,1194
DEUTSCHLAND,Elementary occupations,2015-09-01,36510
DEUTSCHLAND,Service and sales workers,2016-06-01,7565
DEUTSCHLAND,"Plant and machine operators, and assemblers",2011-09-01,1
ITALIA,Service and sales workers,2013-06-01,1
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2011-12-01,2
UNITED KINGDOM,Technicians and associate professionals,2016-01-01,55303
DEUTSCHLAND,Technicians and associate professionals,2016-03-01,2843
IRELAND,Clerical support workers,2016-06-01,1624
UNITED KINGDOM,Professionals,2013-04-01,2
ČESKÁ REPUBLIKA,Elementary occupations,2015-07-01,2035
IRELAND,Clerical support workers,2015-05-01,101
UNITED KINGDOM,Managers,2014-04-01,11
DEUTSCHLAND,Clerical support workers,2013-01-01,30
UNITED KINGDOM,Professionals,2013-09-01,11
ČESKÁ REPUBLIKA,Service and sales workers,2014-03-01,2
UNITED KINGDOM,Technicians and associate professionals,2014-05-01,7
ITALIA,Service and sales workers,2014-06-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-11-01,21094
IRELAND,Professionals,2015-11-01,13495
DEUTSCHLAND,Elementary occupations,2012-12-01,6
UNITED KINGDOM,Service and sales workers,2013-10-01,1
UNITED KINGDOM,Service and sales workers,2015-10-01,12860
IRELAND,Clerical support workers,2016-05-01,2293
ČESKÁ REPUBLIKA,Professionals,2016-06-01,1657
ČESKÁ REPUBLIKA,Service and sales workers,2014-06-01,15
ITALIA,Technicians and associate professionals,2008-11-01,1
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-08-01,6199
IRELAND,Professionals,2015-09-01,14088
IRELAND,Technicians and associate professionals,2016-05-01,8299
ITALIA,Technicians and associate professionals,2010-02-01,3
ITALIA,Professionals,2013-06-01,1
ITALIA,Clerical support workers,2015-08-01,132265
ITALIA,Elementary occupations,2015-12-01,1238
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-01-01,106
UNITED KINGDOM,Managers,2015-04-01,277
UNITED KINGDOM,"Plant and machine operators, and assemblers",2016-05-01,15480
DEUTSCHLAND,Craft and related trades workers,2013-10-01,37
UNITED KINGDOM,Professionals,2013-10-01,38
DEUTSCHLAND,Craft and related trades workers,2011-12-01,13
UNITED KINGDOM,Elementary occupations,2014-10-01,2
ITALIA,"Plant and machine operators, and assemblers",2015-12-01,1562
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-09-01,13
ITALIA,Service and sales workers,2015-01-01,5
ITALIA,Technicians and associate professionals,2014-07-01,2
DEUTSCHLAND,Managers,2012-10-01,7
DEUTSCHLAND,Managers,2015-02-01,23
DEUTSCHLAND,Service and sales workers,2012-07-01,1
UNITED KINGDOM,Professionals,2014-01-01,10
DEUTSCHLAND,Craft and related trades workers,2015-04-01,1118
ITALIA,Clerical support workers,2015-05-01,3102
ČESKÁ REPUBLIKA,Managers,2014-11-01,13
IRELAND,Craft and related trades workers,2015-10-01,373
UNITED KINGDOM,Craft and related trades workers,2015-12-01,5380
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-05-01,196
UNITED KINGDOM,Service and sales workers,2012-05-01,2
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-03-01,551
DEUTSCHLAND,Clerical support workers,2015-09-01,27660
ČESKÁ REPUBLIKA,Managers,2015-07-01,390
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-03-01,11
ČESKÁ REPUBLIKA,Professionals,2014-08-01,18
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-06-01,4370
DEUTSCHLAND,Service and sales workers,2015-08-01,24721
ITALIA,Clerical support workers,2015-06-01,6676
DEUTSCHLAND,Technicians and associate professionals,2014-06-01,48
UNITED KINGDOM,Technicians and associate professionals,2013-01-01,1
ČESKÁ REPUBLIKA,Managers,2015-06-01,458
ČESKÁ REPUBLIKA,Managers,2015-05-01,408
DEUTSCHLAND,Craft and related trades workers,2015-08-01,47273
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-03-01,28
DEUTSCHLAND,Technicians and associate professionals,2014-07-01,45
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-06-01,6
UNITED KINGDOM,Craft and related trades workers,2013-09-01,1
UNITED KINGDOM,Clerical support workers,2014-06-01,1
ČESKÁ REPUBLIKA,Professionals,2014-04-01,2
ITALIA,Managers,2014-10-01,1
ITALIA,"Plant and machine operators, and assemblers",2013-07-01,1
DEUTSCHLAND,Technicians and associate professionals,2012-04-01,7
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-08-01,27
ČESKÁ REPUBLIKA,Elementary occupations,2015-01-01,75
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-11-01,57
ČESKÁ REPUBLIKA,Service and sales workers,2016-04-01,4304
UNITED KINGDOM,Elementary occupations,2015-09-01,14886
DEUTSCHLAND,Service and sales workers,2014-09-01,16
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-01-01,12
DEUTSCHLAND,Clerical support workers,2013-03-01,26
ITALIA,Elementary occupations,2015-01-01,3
IRELAND,Elementary occupations,2016-03-01,549
UNITED KINGDOM,Elementary occupations,2014-11-01,8
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2016-02-01,126
UNITED KINGDOM,Managers,2013-10-01,3
DEUTSCHLAND,Technicians and associate professionals,2015-07-01,35576
ITALIA,Service and sales workers,2016-03-01,4027
UNITED KINGDOM,Managers,2015-12-01,44323
IRELAND,Managers,2015-07-01,4945
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-10-01,1
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-02-01,189
ITALIA,Technicians and associate professionals,2015-12-01,6925
UNITED KINGDOM,Service and sales workers,2016-01-01,33837
DEUTSCHLAND,Managers,2016-04-01,1951
IRELAND,Professionals,2015-06-01,11350
IRELAND,Service and sales workers,2016-01-01,1702
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-05-01,3455
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-11-01,527
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-06-01,88
DEUTSCHLAND,Elementary occupations,2012-04-01,9
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-04-01,1178
IRELAND,Clerical support workers,2015-12-01,1865
UNITED KINGDOM,Elementary occupations,2016-02-01,5287
DEUTSCHLAND,Craft and related trades workers,2012-05-01,15
ITALIA,Technicians and associate professionals,2014-12-01,7
ITALIA,Craft and related trades workers,2014-03-01,1
DEUTSCHLAND,Clerical support workers,2013-04-01,12
ITALIA,Professionals,2013-04-01,1
ITALIA,Craft and related trades workers,2014-08-01,2
ČESKÁ REPUBLIKA,Service and sales workers,2015-04-01,1432
IRELAND,Technicians and associate professionals,2015-12-01,6410
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-10-01,562
DEUTSCHLAND,Craft and related trades workers,2016-03-01,5852
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-02-01,131
ITALIA,Professionals,2013-08-01,2
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2014-10-01,1
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-10-01,25
ČESKÁ REPUBLIKA,Professionals,2015-10-01,2134
UNITED KINGDOM,Service and sales workers,2016-04-01,39223
IRELAND,Professionals,2016-02-01,12611
DEUTSCHLAND,Craft and related trades workers,2012-06-01,9
ITALIA,Professionals,2013-03-01,4
IRELAND,Craft and related trades workers,2015-08-01,252
DEUTSCHLAND,Service and sales workers,2012-06-01,2
ITALIA,Technicians and associate professionals,2015-10-01,12725
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2014-03-01,5
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-08-01,22251
IRELAND,Clerical support workers,2015-06-01,1874
ITALIA,Technicians and associate professionals,2015-01-01,17
IRELAND,"Plant and machine operators, and assemblers",2016-06-01,182
DEUTSCHLAND,Elementary occupations,2014-03-01,25
ITALIA,Managers,2013-09-01,2
ITALIA,Technicians and associate professionals,2012-11-01,1
ČESKÁ REPUBLIKA,Clerical support workers,2015-08-01,1773
ITALIA,Professionals,2015-12-01,5533
ČESKÁ REPUBLIKA,Professionals,2015-01-01,136
DEUTSCHLAND,"Plant and machine operators, and assemblers",2015-10-01,25934
IRELAND,Technicians and associate professionals,2015-08-01,5904
UNITED KINGDOM,Elementary occupations,2015-07-01,15721
DEUTSCHLAND,Managers,2014-03-01,10
DEUTSCHLAND,Technicians and associate professionals,2016-06-01,10912
ITALIA,Elementary occupations,2016-01-01,902
DEUTSCHLAND,Craft and related trades workers,2013-09-01,20
DEUTSCHLAND,Technicians and associate professionals,2013-11-01,14
UNITED KINGDOM,Craft and related trades workers,2014-09-01,10
UNITED KINGDOM,Craft and related trades workers,2015-03-01,19
ČESKÁ REPUBLIKA,Elementary occupations,2014-05-01,4
ČESKÁ REPUBLIKA,Service and sales workers,2014-02-01,1
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-12-01,2
DEUTSCHLAND,Elementary occupations,2014-05-01,13
UNITED KINGDOM,Managers,2014-10-01,11
ČESKÁ REPUBLIKA,Elementary occupations,2014-11-01,19
ITALIA,Service and sales workers,2015-03-01,8
ITALIA,Professionals,2014-04-01,10
ITALIA,Service and sales workers,2016-05-01,5982
IRELAND,"Plant and machine operators, and assemblers",2015-06-01,166
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-10-01,93
ČESKÁ REPUBLIKA,Service and sales workers,2014-01-01,2
DEUTSCHLAND,Technicians and associate professionals,2013-01-01,24
ČESKÁ REPUBLIKA,"Plant and machine operators, and assemblers",2015-04-01,1269
DEUTSCHLAND,"Plant and machine operators, and assemblers",2012-10-01,37
DEUTSCHLAND,Elementary occupations,2012-08-01,8
DEUTSCHLAND,Service and sales workers,2012-01-01,9
ČESKÁ REPUBLIKA,Clerical support workers,2014-07-01,3
DEUTSCHLAND,Elementary occupations,2012-07-01,7
UNITED KINGDOM,Clerical support workers,2011-12-01,1
UNITED KINGDOM,Professionals,2011-07-01,1
ITALIA,Clerical support workers,2014-05-01,1
IRELAND,Technicians and associate professionals,2015-06-01,6859
DEUTSCHLAND,Technicians and associate professionals,2015-04-01,1212
IRELAND,"Skilled agricultural, forestry and fishery workers",2015-08-01,1
UNITED KINGDOM,Professionals,2013-02-01,1
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-12-01,2
DEUTSCHLAND,"Plant and machine operators, and assemblers",2014-12-01,57
ČESKÁ REPUBLIKA,Clerical support workers,2016-01-01,2036
DEUTSCHLAND,Service and sales workers,2013-02-01,34
ITALIA,Technicians and associate professionals,2015-06-01,13224
ITALIA,"Plant and machine operators, and assemblers",2015-09-01,135330
DEUTSCHLAND,Craft and related trades workers,2015-02-01,148
ITALIA,"Plant and machine operators, and assemblers",2015-02-01,2
DEUTSCHLAND,Elementary occupations,2013-04-01,11
UNITED KINGDOM,Technicians and associate professionals,2012-01-01,1
ITALIA,Managers,2015-01-01,2
DEUTSCHLAND,Clerical support workers,2015-01-01,95
DEUTSCHLAND,Clerical support workers,2015-11-01,37836
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-11-01,171
DEUTSCHLAND,Professionals,2014-06-01,107
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-04-01,6
DEUTSCHLAND,Professionals,2014-09-01,78
DEUTSCHLAND,Service and sales workers,2013-12-01,5
DEUTSCHLAND,Craft and related trades workers,2015-05-01,28259
ČESKÁ REPUBLIKA,Elementary occupations,2015-10-01,2464
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-12-01,2036
ITALIA,Professionals,2015-08-01,163545
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2012-02-01,2
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-02-01,204
ČESKÁ REPUBLIKA,Service and sales workers,2015-03-01,479
IRELAND,Clerical support workers,2015-10-01,2330
UNITED KINGDOM,Managers,2015-05-01,36284
IRELAND,"Plant and machine operators, and assemblers",2015-09-01,280
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-04-01,41
DEUTSCHLAND,Technicians and associate professionals,2012-03-01,5
ČESKÁ REPUBLIKA,Elementary occupations,2014-10-01,16
ITALIA,Managers,2015-07-01,6601
ITALIA,Service and sales workers,2015-07-01,31977
ITALIA,Service and sales workers,2016-04-01,4586
UNITED KINGDOM,Professionals,2015-08-01,136947
ČESKÁ REPUBLIKA,Professionals,2014-11-01,42
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-09-01,420
DEUTSCHLAND,Elementary occupations,2014-02-01,9
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2013-04-01,3
ITALIA,Managers,2014-12-01,1
UNITED KINGDOM,Service and sales workers,2013-08-01,1
IRELAND,Service and sales workers,2015-11-01,1884
DEUTSCHLAND,Clerical support workers,2014-12-01,96
ITALIA,Elementary occupations,2016-03-01,2099
DEUTSCHLAND,Technicians and associate professionals,2013-02-01,26
DEUTSCHLAND,Managers,2013-12-01,15
DEUTSCHLAND,Craft and related trades workers,2013-12-01,22
IRELAND,Technicians and associate professionals,2015-04-01,6
ČESKÁ REPUBLIKA,Clerical support workers,2014-11-01,14
ČESKÁ REPUBLIKA,Clerical support workers,2014-10-01,20
DEUTSCHLAND,Craft and related trades workers,2014-10-01,79
DEUTSCHLAND,Clerical support workers,2015-04-01,815
DEUTSCHLAND,Managers,2015-06-01,7626
ITALIA,"Skilled agricultural, forestry and fishery workers",2015-05-01,31
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-04-01,16
ITALIA,Professionals,2015-01-01,23
ČESKÁ REPUBLIKA,Service and sales workers,2015-05-01,4315
ČESKÁ REPUBLIKA,Technicians and associate professionals,2016-04-01,3482
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2016-02-01,460
DEUTSCHLAND,Service and sales workers,2013-04-01,1
DEUTSCHLAND,"Plant and machine operators, and assemblers",2013-05-01,30
DEUTSCHLAND,Clerical support workers,2015-07-01,36484
ČESKÁ REPUBLIKA,Clerical support workers,2015-09-01,2102
UNITED KINGDOM,Technicians and associate professionals,2015-10-01,19732
ČESKÁ REPUBLIKA,Managers,2016-01-01,370
ČESKÁ REPUBLIKA,Clerical support workers,2016-06-01,1685
ITALIA,Professionals,2014-09-01,10
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-04-01,63
UNITED KINGDOM,Technicians and associate professionals,2015-06-01,93465
UNITED KINGDOM,Managers,2016-02-01,43195
DEUTSCHLAND,Managers,2015-12-01,4293
DEUTSCHLAND,Service and sales workers,2014-04-01,10
ITALIA,Professionals,2014-05-01,4
ČESKÁ REPUBLIKA,Craft and related trades workers,2015-04-01,1666
ITALIA,"Plant and machine operators, and assemblers",2016-06-01,3025
DEUTSCHLAND,Technicians and associate professionals,2016-04-01,8847
UNITED KINGDOM,Clerical support workers,2016-01-01,19826
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-05-01,9
IRELAND,Service and sales workers,2015-12-01,1667
UNITED KINGDOM,Clerical support workers,2015-04-01,94
DEUTSCHLAND,Craft and related trades workers,2014-07-01,63
ITALIA,Professionals,2012-01-01,1
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-04-01,3
UNITED KINGDOM,"Plant and machine operators, and assemblers",2014-02-01,1
ITALIA,Clerical support workers,2014-07-01,1
DEUTSCHLAND,Service and sales workers,2015-12-01,18693
DEUTSCHLAND,Technicians and associate professionals,2012-05-01,8
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2016-06-01,321
DEUTSCHLAND,Craft and related trades workers,2013-06-01,22
ČESKÁ REPUBLIKA,Clerical support workers,2016-04-01,2426
UNITED KINGDOM,Elementary occupations,2014-08-01,2
UNITED KINGDOM,Technicians and associate professionals,2014-10-01,21
ČESKÁ REPUBLIKA,Elementary occupations,2015-12-01,1586
DEUTSCHLAND,Managers,2016-03-01,851
UNITED KINGDOM,Technicians and associate professionals,2015-01-01,84
IRELAND,Craft and related trades workers,2015-12-01,279
