country,esco,S_YEAR_MONTH,count,date
Cyprus,Elementary occupations,2016/08,43,2016-08-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2016/07,32,2016-07-01
Poland,Armed forces occupations,2015/03,7,2015-03-01
Hungary,Elementary occupations,2015/04,1884,2015-04-01
Greece,"Plant and machine operators, and assemblers",2015/04,502,2015-04-01
Slovenia,Professionals,2015/06,1125,2015-06-01
Finland,Professionals,2015/07,1099,2015-07-01
Germany,Clerical support workers,2015/08,427,2015-08-01
Finland,Clerical support workers,2015/09,419,2015-09-01
Spain,Professionals,2015/09,22680,2015-09-01
Greece,Service and sales workers,2015/10,649,2015-10-01
Romania,Service and sales workers,2015/12,1638,2015-12-01
Slovenia,Technicians and associate professionals,2016/03,681,2016-03-01
Denmark,Service and sales workers,2016/03,82,2016-03-01
Hungary,Technicians and associate professionals,2016/04,1734,2016-04-01
Sweden,Professionals,2016/04,694,2016-04-01
Romania,Elementary occupations,2016/05,1996,2016-05-01
Germany,Clerical support workers,2016/07,636,2016-07-01
France,Professionals,2016/09,5028,2016-09-01
Germany,Professionals,2015/09,1930,2015-09-01
Czech Republic,Clerical support workers,2015/04,516,2015-04-01
Germany,Service and sales workers,2015/11,329,2015-11-01
Latvia,Technicians and associate professionals,2016/08,245,2016-08-01
Estonia,Professionals,2016/11,480,2016-11-01
Cyprus,Managers,2015/04,152,2015-04-01
Croatia,"Skilled agricultural, forestry and fishery workers",2015/07,188,2015-07-01
Finland,"Plant and machine operators, and assemblers",2016/09,139,2016-09-01
Latvia,Clerical support workers,2015/05,85,2015-05-01
Romania,Armed forces occupations,2016/09,7,2016-09-01
Malta,Service and sales workers,2015/05,26,2015-05-01
Luxembourg,Professionals,2015/04,56,2015-04-01
Cyprus,Clerical support workers,2016/06,60,2016-06-01
Malta,Elementary occupations,2016/01,9,2016-01-01
Sweden,"Skilled agricultural, forestry and fishery workers",2016/11,9,2016-11-01
Greece,Armed forces occupations,2016/08,6,2016-08-01
Austria,Elementary occupations,2015/04,20,2015-04-01
Poland,Armed forces occupations,2016/03,7,2016-03-01
Portugal,Elementary occupations,2015/04,690,2015-04-01
Poland,Craft and related trades workers,2015/04,1820,2015-04-01
Poland,Professionals,2015/05,2333,2015-05-01
Greece,"Plant and machine operators, and assemblers",2015/05,257,2015-05-01
Latvia,Managers,2015/07,98,2015-07-01
Hungary,Service and sales workers,2015/09,1277,2015-09-01
United Kingdom,Technicians and associate professionals,2015/09,382,2015-09-01
Spain,"Plant and machine operators, and assemblers",2015/10,1296,2015-10-01
Estonia,Technicians and associate professionals,2015/10,207,2015-10-01
Sweden,Clerical support workers,2015/12,186,2015-12-01
Croatia,Service and sales workers,2016/01,1754,2016-01-01
Italy,Technicians and associate professionals,2016/02,13045,2016-02-01
France,"Plant and machine operators, and assemblers",2016/02,164,2016-02-01
Slovakia,Technicians and associate professionals,2016/04,219,2016-04-01
Czech Republic,Technicians and associate professionals,2016/05,505,2016-05-01
France,Professionals,2016/05,4600,2016-05-01
Italy,Elementary occupations,2016/07,3005,2016-07-01
Poland,"Skilled agricultural, forestry and fishery workers",2016/08,218,2016-08-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/08,543,2016-08-01
Hungary,Clerical support workers,2016/09,1404,2016-09-01
Cyprus,Technicians and associate professionals,2016/09,254,2016-09-01
Denmark,Technicians and associate professionals,2016/10,138,2016-10-01
Greece,Managers,2016/11,1123,2016-11-01
Latvia,Elementary occupations,2016/02,107,2016-02-01
Cyprus,Elementary occupations,2016/04,43,2016-04-01
Luxembourg,Service and sales workers,2015/06,2,2015-06-01
Austria,Elementary occupations,2016/07,30,2016-07-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/06,5,2015-06-01
Bulgaria,Armed forces occupations,2016/05,1,2016-05-01
Croatia,Armed forces occupations,2016/11,7,2016-11-01
Hungary,Service and sales workers,2015/04,2232,2015-04-01
Portugal,Professionals,2015/04,8464,2015-04-01
Croatia,Professionals,2015/07,4833,2015-07-01
Hungary,Craft and related trades workers,2015/09,566,2015-09-01
Belgium,Clerical support workers,2015/10,358,2015-10-01
Belgium,"Plant and machine operators, and assemblers",2016/01,49,2016-01-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/02,503,2016-02-01
United Kingdom,Elementary occupations,2016/03,93,2016-03-01
Netherlands,Technicians and associate professionals,2016/04,488,2016-04-01
Latvia,Managers,2016/06,153,2016-06-01
Bulgaria,Professionals,2016/06,2419,2016-06-01
Slovenia,"Plant and machine operators, and assemblers",2016/08,186,2016-08-01
Croatia,Clerical support workers,2016/09,1551,2016-09-01
Finland,Service and sales workers,2016/09,687,2016-09-01
France,Managers,2016/10,1647,2016-10-01
Slovakia,Technicians and associate professionals,2016/10,242,2016-10-01
Bulgaria,Managers,2015/08,573,2015-08-01
Italy,"Skilled agricultural, forestry and fishery workers",2015/10,419,2015-10-01
Sweden,Technicians and associate professionals,2015/11,321,2015-11-01
Netherlands,Elementary occupations,2016/04,52,2016-04-01
France,"Skilled agricultural, forestry and fishery workers",2016/08,59,2016-08-01
Lithuania,Elementary occupations,2016/11,301,2016-11-01
France,"Plant and machine operators, and assemblers",2015/06,74,2015-06-01
Cyprus,"Plant and machine operators, and assemblers",2016/04,14,2016-04-01
Cyprus,Clerical support workers,2016/07,62,2016-07-01
Poland,"Skilled agricultural, forestry and fishery workers",2015/04,262,2015-04-01
Malta,Clerical support workers,2016/05,39,2016-05-01
Luxembourg,Service and sales workers,2016/01,4,2016-01-01
Luxembourg,Clerical support workers,2015/09,10,2015-09-01
Luxembourg,Elementary occupations,2016/01,3,2016-01-01
Latvia,Elementary occupations,2015/06,79,2015-06-01
Sweden,Elementary occupations,2015/07,42,2015-07-01
Hungary,"Skilled agricultural, forestry and fishery workers",2015/11,94,2015-11-01
Poland,Managers,2016/01,621,2016-01-01
Slovenia,"Plant and machine operators, and assemblers",2016/01,153,2016-01-01
Greece,Technicians and associate professionals,2016/01,1945,2016-01-01
Italy,Service and sales workers,2016/08,8418,2016-08-01
Sweden,Clerical support workers,2016/10,227,2016-10-01
Italy,Service and sales workers,2016/11,8946,2016-11-01
Poland,Elementary occupations,2016/11,1558,2016-11-01
Croatia,Managers,2015/03,1000,2015-03-01
Czech Republic,Clerical support workers,2015/07,295,2015-07-01
Hungary,Technicians and associate professionals,2015/09,1505,2015-09-01
Germany,Clerical support workers,2015/11,489,2015-11-01
Lithuania,Elementary occupations,2016/01,241,2016-01-01
Lithuania,Craft and related trades workers,2016/02,206,2016-02-01
Slovenia,Managers,2016/03,274,2016-03-01
Slovakia,Managers,2016/04,96,2016-04-01
Sweden,Service and sales workers,2016/08,353,2016-08-01
Sweden,"Plant and machine operators, and assemblers",2015/10,32,2015-10-01
United Kingdom,Craft and related trades workers,2016/08,93,2016-08-01
Cyprus,Managers,2016/10,124,2016-10-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2015/05,38,2015-05-01
Sweden,Service and sales workers,2015/08,254,2015-08-01
Finland,Elementary occupations,2016/09,239,2016-09-01
Lithuania,Clerical support workers,2015/12,268,2015-12-01
Cyprus,"Plant and machine operators, and assemblers",2016/06,14,2016-06-01
Sweden,"Skilled agricultural, forestry and fishery workers",2016/01,9,2016-01-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2016/01,2,2016-01-01
Denmark,"Skilled agricultural, forestry and fishery workers",2015/07,1,2015-07-01
Germany,Technicians and associate professionals,2015/06,676,2015-06-01
Romania,Service and sales workers,2015/06,1324,2015-06-01
Italy,Professionals,2015/10,25170,2015-10-01
Italy,"Skilled agricultural, forestry and fishery workers",2015/11,426,2015-11-01
Lithuania,"Skilled agricultural, forestry and fishery workers",2015/11,51,2015-11-01
Sweden,Professionals,2015/12,586,2015-12-01
Czech Republic,Technicians and associate professionals,2015/12,457,2015-12-01
Poland,Clerical support workers,2016/01,1425,2016-01-01
Denmark,Professionals,2016/01,237,2016-01-01
Spain,"Plant and machine operators, and assemblers",2016/02,1426,2016-02-01
Poland,Elementary occupations,2016/04,1422,2016-04-01
Hungary,Craft and related trades workers,2016/09,666,2016-09-01
Germany,Elementary occupations,2016/10,125,2016-10-01
Croatia,"Plant and machine operators, and assemblers",2016/11,1074,2016-11-01
Luxembourg,Managers,2016/02,19,2016-02-01
Denmark,Service and sales workers,2016/06,91,2016-06-01
Italy,"Skilled agricultural, forestry and fishery workers",2016/08,492,2016-08-01
Czech Republic,Clerical support workers,2016/06,429,2016-06-01
Finland,Craft and related trades workers,2015/05,112,2015-05-01
Portugal,"Skilled agricultural, forestry and fishery workers",2016/06,65,2016-06-01
Latvia,Service and sales workers,2016/05,128,2016-05-01
Cyprus,Clerical support workers,2015/08,51,2015-08-01
Latvia,"Plant and machine operators, and assemblers",2015/06,58,2015-06-01
Germany,"Skilled agricultural, forestry and fishery workers",2016/09,46,2016-09-01
Denmark,Elementary occupations,2016/04,17,2016-04-01
Cyprus,Craft and related trades workers,2015/04,32,2015-04-01
Netherlands,Armed forces occupations,2016/08,1,2016-08-01
Netherlands,Armed forces occupations,2015/12,1,2015-12-01
Italy,Armed forces occupations,2015/10,9,2015-10-01
Spain,Technicians and associate professionals,2015/05,7470,2015-05-01
Bulgaria,Elementary occupations,2015/05,545,2015-05-01
Germany,Managers,2015/06,466,2015-06-01
Slovenia,Craft and related trades workers,2015/07,144,2015-07-01
Hungary,Clerical support workers,2015/08,1122,2015-08-01
Estonia,Craft and related trades workers,2015/08,91,2015-08-01
Slovenia,Managers,2015/09,239,2015-09-01
Sweden,Service and sales workers,2015/10,271,2015-10-01
Italy,Craft and related trades workers,2015/12,2808,2015-12-01
Lithuania,Managers,2015/12,247,2015-12-01
Greece,Service and sales workers,2016/01,757,2016-01-01
Italy,Elementary occupations,2016/06,2993,2016-06-01
Poland,Professionals,2016/07,3724,2016-07-01
Bulgaria,Professionals,2016/07,2466,2016-07-01
Hungary,Service and sales workers,2016/07,1456,2016-07-01
Greece,"Plant and machine operators, and assemblers",2016/08,444,2016-08-01
Romania,Technicians and associate professionals,2016/09,3123,2016-09-01
Malta,Managers,2016/09,55,2016-09-01
Luxembourg,Managers,2016/09,17,2016-09-01
Hungary,Clerical support workers,2016/10,1418,2016-10-01
Latvia,Craft and related trades workers,2016/03,110,2016-03-01
Czech Republic,Service and sales workers,2016/04,398,2016-04-01
Slovakia,Professionals,2016/06,430,2016-06-01
France,Craft and related trades workers,2015/09,184,2015-09-01
Netherlands,Clerical support workers,2016/10,265,2016-10-01
Netherlands,Service and sales workers,2016/10,308,2016-10-01
Malta,Technicians and associate professionals,2015/06,49,2015-06-01
Czech Republic,Service and sales workers,2015/07,290,2015-07-01
Belgium,Craft and related trades workers,2015/08,76,2015-08-01
Slovenia,Craft and related trades workers,2016/03,193,2016-03-01
United Kingdom,Craft and related trades workers,2016/11,102,2016-11-01
Austria,"Skilled agricultural, forestry and fishery workers",2015/03,1,2015-03-01
Latvia,Elementary occupations,2015/04,146,2015-04-01
Spain,"Plant and machine operators, and assemblers",2015/05,1105,2015-05-01
Spain,Craft and related trades workers,2015/06,1547,2015-06-01
Belgium,Professionals,2015/07,1432,2015-07-01
Hungary,Professionals,2015/07,2462,2015-07-01
Slovenia,Managers,2015/11,262,2015-11-01
Spain,Managers,2016/03,2957,2016-03-01
Malta,Elementary occupations,2016/04,9,2016-04-01
Bulgaria,"Plant and machine operators, and assemblers",2016/06,670,2016-06-01
France,Clerical support workers,2016/06,1011,2016-06-01
Czech Republic,Professionals,2016/08,877,2016-08-01
Bulgaria,Craft and related trades workers,2016/08,760,2016-08-01
Greece,Clerical support workers,2016/11,1371,2016-11-01
Finland,Managers,2015/09,293,2015-09-01
Spain,"Skilled agricultural, forestry and fishery workers",2015/10,439,2015-10-01
France,"Plant and machine operators, and assemblers",2015/10,101,2015-10-01
Finland,Service and sales workers,2016/04,608,2016-04-01
Estonia,Technicians and associate professionals,2016/06,228,2016-06-01
Sweden,Professionals,2015/04,940,2015-04-01
Slovenia,Service and sales workers,2015/07,322,2015-07-01
Estonia,Professionals,2015/12,371,2015-12-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2016/10,35,2016-10-01
Cyprus,Craft and related trades workers,2016/05,28,2016-05-01
Sweden,"Plant and machine operators, and assemblers",2016/01,33,2016-01-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/06,14,2015-06-01
Malta,Elementary occupations,2016/08,9,2016-08-01
Denmark,Clerical support workers,2015/03,34,2015-03-01
Latvia,"Plant and machine operators, and assemblers",2015/03,50,2015-03-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2016/10,9,2016-10-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/09,19,2015-09-01
Latvia,Service and sales workers,2015/03,75,2015-03-01
Hungary,"Plant and machine operators, and assemblers",2015/03,279,2015-03-01
Italy,Elementary occupations,2015/07,2145,2015-07-01
Greece,Clerical support workers,2015/07,820,2015-07-01
Slovakia,Service and sales workers,2015/08,106,2015-08-01
Spain,Managers,2015/09,2420,2015-09-01
Poland,Service and sales workers,2016/02,1229,2016-02-01
Romania,Technicians and associate professionals,2016/04,2860,2016-04-01
Slovakia,Service and sales workers,2016/04,123,2016-04-01
United Kingdom,Technicians and associate professionals,2016/05,484,2016-05-01
Netherlands,Managers,2016/05,414,2016-05-01
Portugal,Elementary occupations,2016/06,489,2016-06-01
United Kingdom,Technicians and associate professionals,2016/07,516,2016-07-01
Poland,"Plant and machine operators, and assemblers",2016/07,1245,2016-07-01
Czech Republic,Elementary occupations,2016/08,291,2016-08-01
Romania,Craft and related trades workers,2016/09,1855,2016-09-01
Spain,Technicians and associate professionals,2016/11,12583,2016-11-01
Netherlands,Service and sales workers,2016/11,309,2016-11-01
Slovakia,Professionals,2015/09,369,2015-09-01
Germany,"Plant and machine operators, and assemblers",2015/09,113,2015-09-01
Denmark,Technicians and associate professionals,2015/08,82,2015-08-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2016/02,51,2016-02-01
Austria,Craft and related trades workers,2016/10,43,2016-10-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2016/07,26,2016-07-01
France,"Skilled agricultural, forestry and fishery workers",2015/06,27,2015-06-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2016/11,35,2016-11-01
Italy,Armed forces occupations,2015/06,8,2015-06-01
Bulgaria,Armed forces occupations,2015/10,1,2015-10-01
Croatia,Service and sales workers,2015/03,1223,2015-03-01
Romania,Technicians and associate professionals,2015/04,3648,2015-04-01
Croatia,Craft and related trades workers,2015/05,1113,2015-05-01
Greece,Technicians and associate professionals,2015/06,1359,2015-06-01
Romania,Elementary occupations,2015/08,1567,2015-08-01
Finland,Elementary occupations,2015/10,209,2015-10-01
Slovakia,Professionals,2016/04,413,2016-04-01
Lithuania,Clerical support workers,2016/05,296,2016-05-01
Belgium,"Plant and machine operators, and assemblers",2016/05,58,2016-05-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2016/05,33,2016-05-01
Estonia,Managers,2016/05,162,2016-05-01
Hungary,Clerical support workers,2016/07,1372,2016-07-01
Czech Republic,Technicians and associate professionals,2016/07,534,2016-07-01
Czech Republic,Professionals,2016/07,850,2016-07-01
Bulgaria,Service and sales workers,2016/08,1172,2016-08-01
Greece,Elementary occupations,2016/08,462,2016-08-01
Greece,Professionals,2016/10,6019,2016-10-01
Poland,"Plant and machine operators, and assemblers",2016/10,1310,2016-10-01
Slovakia,Elementary occupations,2015/05,95,2015-05-01
Lithuania,Service and sales workers,2016/06,330,2016-06-01
Estonia,Technicians and associate professionals,2016/10,243,2016-10-01
Austria,Managers,2016/11,132,2016-11-01
Denmark,Service and sales workers,2015/05,36,2015-05-01
Slovakia,Managers,2015/09,85,2015-09-01
Netherlands,Elementary occupations,2015/11,38,2015-11-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/09,31,2016-09-01
Denmark,Service and sales workers,2015/09,54,2015-09-01
Romania,Armed forces occupations,2016/06,5,2016-06-01
Greece,"Skilled agricultural, forestry and fishery workers",2016/03,52,2016-03-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2015/04,34,2015-04-01
Poland,Managers,2015/03,407,2015-03-01
Slovenia,Service and sales workers,2015/03,259,2015-03-01
Lithuania,Service and sales workers,2015/06,231,2015-06-01
Italy,Craft and related trades workers,2015/06,2296,2015-06-01
Romania,Professionals,2015/07,3450,2015-07-01
Latvia,"Plant and machine operators, and assemblers",2015/08,69,2015-08-01
Netherlands,Managers,2015/10,316,2015-10-01
Lithuania,Professionals,2015/12,689,2015-12-01
Slovenia,Elementary occupations,2016/03,234,2016-03-01
Spain,Service and sales workers,2016/05,5478,2016-05-01
Croatia,Managers,2016/11,1497,2016-11-01
Lithuania,"Skilled agricultural, forestry and fishery workers",2015/07,44,2015-07-01
Cyprus,"Plant and machine operators, and assemblers",2015/09,14,2015-09-01
Greece,Service and sales workers,2016/07,894,2016-07-01
United Kingdom,"Plant and machine operators, and assemblers",2016/08,58,2016-08-01
Lithuania,"Plant and machine operators, and assemblers",2016/11,224,2016-11-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/04,2,2015-04-01
Slovakia,Elementary occupations,2015/09,110,2015-09-01
Slovenia,Managers,2016/07,308,2016-07-01
Denmark,Service and sales workers,2016/09,97,2016-09-01
Slovakia,Craft and related trades workers,2015/03,36,2015-03-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/06,27,2015-06-01
Sweden,Elementary occupations,2016/08,74,2016-08-01
Slovakia,Craft and related trades workers,2015/09,42,2015-09-01
Portugal,"Plant and machine operators, and assemblers",2016/04,423,2016-04-01
Sweden,"Plant and machine operators, and assemblers",2016/02,34,2016-02-01
United Kingdom,Armed forces occupations,2015/07,1,2015-07-01
United Kingdom,Armed forces occupations,2016/01,1,2016-01-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2016/08,32,2016-08-01
Bulgaria,Clerical support workers,2015/03,611,2015-03-01
Spain,"Skilled agricultural, forestry and fishery workers",2015/06,388,2015-06-01
France,Professionals,2015/08,3046,2015-08-01
Romania,"Plant and machine operators, and assemblers",2015/10,1417,2015-10-01
Slovakia,Professionals,2015/11,377,2015-11-01
Croatia,Technicians and associate professionals,2015/11,2944,2015-11-01
Bulgaria,Managers,2016/01,655,2016-01-01
Hungary,Professionals,2016/02,2930,2016-02-01
Croatia,"Plant and machine operators, and assemblers",2016/02,955,2016-02-01
Germany,Professionals,2016/02,2357,2016-02-01
Greece,Clerical support workers,2016/05,1189,2016-05-01
Sweden,Professionals,2016/06,718,2016-06-01
Luxembourg,Elementary occupations,2016/06,5,2016-06-01
Estonia,Technicians and associate professionals,2016/08,232,2016-08-01
France,"Skilled agricultural, forestry and fishery workers",2016/09,60,2016-09-01
France,Craft and related trades workers,2015/07,173,2015-07-01
Malta,Technicians and associate professionals,2015/11,52,2015-11-01
Belgium,Clerical support workers,2016/05,468,2016-05-01
Czech Republic,Craft and related trades workers,2016/11,193,2016-11-01
Malta,Technicians and associate professionals,2015/12,52,2015-12-01
Belgium,"Skilled agricultural, forestry and fishery workers",2016/10,17,2016-10-01
Croatia,Armed forces occupations,2015/07,6,2015-07-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/01,23,2016-01-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2016/04,25,2016-04-01
Malta,"Plant and machine operators, and assemblers",2015/10,9,2015-10-01
Malta,"Skilled agricultural, forestry and fishery workers",2016/07,5,2016-07-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2016/06,9,2016-06-01
Spain,Armed forces occupations,2016/09,3,2016-09-01
Belgium,Service and sales workers,2015/06,213,2015-06-01
Hungary,Service and sales workers,2015/06,1173,2015-06-01
Croatia,Craft and related trades workers,2015/07,1245,2015-07-01
Estonia,Service and sales workers,2015/08,175,2015-08-01
Poland,Clerical support workers,2015/12,1375,2015-12-01
Spain,Service and sales workers,2015/12,4779,2015-12-01
Bulgaria,Professionals,2016/02,2243,2016-02-01
Czech Republic,Clerical support workers,2016/02,391,2016-02-01
Slovenia,Managers,2016/02,272,2016-02-01
Spain,Elementary occupations,2016/03,2172,2016-03-01
Sweden,Managers,2016/03,167,2016-03-01
Poland,Service and sales workers,2016/07,1368,2016-07-01
Portugal,"Plant and machine operators, and assemblers",2016/08,456,2016-08-01
Bulgaria,Managers,2016/09,739,2016-09-01
Czech Republic,"Plant and machine operators, and assemblers",2016/09,213,2016-09-01
Portugal,Clerical support workers,2016/09,1152,2016-09-01
Slovenia,"Plant and machine operators, and assemblers",2016/10,199,2016-10-01
Spain,Service and sales workers,2016/11,6091,2016-11-01
Croatia,Elementary occupations,2016/11,1072,2016-11-01
Greece,Elementary occupations,2015/11,363,2015-11-01
Sweden,Clerical support workers,2016/04,202,2016-04-01
Slovakia,Professionals,2016/11,460,2016-11-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2016/05,21,2016-05-01
Estonia,Clerical support workers,2016/05,137,2016-05-01
Cyprus,Technicians and associate professionals,2016/07,234,2016-07-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/10,29,2015-10-01
Netherlands,Craft and related trades workers,2016/06,64,2016-06-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2016/02,23,2016-02-01
Denmark,Elementary occupations,2015/09,14,2015-09-01
Austria,"Skilled agricultural, forestry and fishery workers",2016/05,2,2016-05-01
France,Professionals,2015/05,2703,2015-05-01
Netherlands,Professionals,2015/06,721,2015-06-01
Malta,Professionals,2015/09,123,2015-09-01
Slovenia,Technicians and associate professionals,2015/11,631,2015-11-01
France,Professionals,2016/02,4332,2016-02-01
Poland,Technicians and associate professionals,2016/02,1748,2016-02-01
Denmark,Professionals,2016/03,261,2016-03-01
Romania,Clerical support workers,2016/04,1784,2016-04-01
Portugal,Technicians and associate professionals,2016/09,3414,2016-09-01
Bulgaria,Professionals,2016/10,2584,2016-10-01
Portugal,Technicians and associate professionals,2016/11,3494,2016-11-01
Latvia,Professionals,2015/04,410,2015-04-01
Estonia,Service and sales workers,2015/12,187,2015-12-01
Lithuania,"Plant and machine operators, and assemblers",2016/06,194,2016-06-01
Sweden,Managers,2016/06,195,2016-06-01
Estonia,Professionals,2016/07,422,2016-07-01
Poland,Managers,2016/10,765,2016-10-01
Finland,"Plant and machine operators, and assemblers",2015/07,99,2015-07-01
Malta,Service and sales workers,2015/09,28,2015-09-01
Portugal,"Skilled agricultural, forestry and fishery workers",2016/04,64,2016-04-01
Latvia,"Skilled agricultural, forestry and fishery workers",2016/08,16,2016-08-01
Malta,Managers,2016/02,45,2016-02-01
Malta,"Plant and machine operators, and assemblers",2016/07,9,2016-07-01
Slovakia,"Plant and machine operators, and assemblers",2016/04,54,2016-04-01
Latvia,"Skilled agricultural, forestry and fishery workers",2015/10,12,2015-10-01
Luxembourg,Clerical support workers,2016/02,16,2016-02-01
Austria,"Plant and machine operators, and assemblers",2016/11,22,2016-11-01
Denmark,"Plant and machine operators, and assemblers",2015/10,9,2015-10-01
Malta,"Skilled agricultural, forestry and fishery workers",2015/08,5,2015-08-01
Romania,Armed forces occupations,2015/05,2,2015-05-01
France,Professionals,2015/04,5220,2015-04-01
Slovakia,Professionals,2015/04,622,2015-04-01
Hungary,Technicians and associate professionals,2015/05,1333,2015-05-01
Italy,Managers,2015/07,3038,2015-07-01
Finland,Service and sales workers,2015/07,445,2015-07-01
France,Technicians and associate professionals,2015/10,1473,2015-10-01
Hungary,Service and sales workers,2015/12,1324,2015-12-01
Greece,Technicians and associate professionals,2015/12,1868,2015-12-01
France,Clerical support workers,2015/12,839,2015-12-01
Italy,Managers,2016/02,4019,2016-02-01
Poland,Technicians and associate professionals,2016/03,1795,2016-03-01
United Kingdom,Service and sales workers,2016/03,278,2016-03-01
Bulgaria,"Plant and machine operators, and assemblers",2016/04,650,2016-04-01
Spain,Craft and related trades workers,2016/06,2155,2016-06-01
Cyprus,Technicians and associate professionals,2016/08,254,2016-08-01
Poland,Professionals,2016/09,3910,2016-09-01
Spain,Managers,2016/11,3502,2016-11-01
Bulgaria,Craft and related trades workers,2016/11,769,2016-11-01
Bulgaria,Craft and related trades workers,2015/08,604,2015-08-01
Czech Republic,Managers,2015/11,188,2015-11-01
United Kingdom,Elementary occupations,2016/10,118,2016-10-01
Greece,"Skilled agricultural, forestry and fishery workers",2015/09,43,2015-09-01
Estonia,"Plant and machine operators, and assemblers",2016/07,100,2016-07-01
Malta,Professionals,2015/03,88,2015-03-01
Latvia,Elementary occupations,2015/07,81,2015-07-01
United Kingdom,Clerical support workers,2016/04,242,2016-04-01
Slovakia,"Plant and machine operators, and assemblers",2015/10,47,2015-10-01
Sweden,Clerical support workers,2015/09,182,2015-09-01
Slovakia,Managers,2015/03,69,2015-03-01
Malta,"Plant and machine operators, and assemblers",2015/08,9,2015-08-01
Luxembourg,Service and sales workers,2015/11,3,2015-11-01
Slovenia,Technicians and associate professionals,2015/03,489,2015-03-01
Lithuania,"Plant and machine operators, and assemblers",2015/04,262,2015-04-01
Romania,Craft and related trades workers,2015/06,1304,2015-06-01
Hungary,Craft and related trades workers,2015/07,539,2015-07-01
Lithuania,Elementary occupations,2015/08,213,2015-08-01
Hungary,Elementary occupations,2015/09,1131,2015-09-01
Spain,Elementary occupations,2015/09,1817,2015-09-01
United Kingdom,Craft and related trades workers,2015/09,62,2015-09-01
Sweden,Technicians and associate professionals,2016/01,355,2016-01-01
Bulgaria,Craft and related trades workers,2016/03,710,2016-03-01
Greece,Service and sales workers,2016/04,830,2016-04-01
Hungary,Professionals,2016/05,3052,2016-05-01
France,Service and sales workers,2016/08,1090,2016-08-01
Belgium,Managers,2016/08,524,2016-08-01
Romania,Elementary occupations,2016/10,2120,2016-10-01
Croatia,Service and sales workers,2016/11,2015,2016-11-01
Slovakia,Service and sales workers,2016/06,135,2016-06-01
Slovenia,Elementary occupations,2016/07,245,2016-07-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2016/01,49,2016-01-01
Netherlands,Elementary occupations,2016/02,52,2016-02-01
United Kingdom,Elementary occupations,2016/04,97,2016-04-01
Estonia,Craft and related trades workers,2015/05,81,2015-05-01
Romania,Armed forces occupations,2016/08,7,2016-08-01
Cyprus,Elementary occupations,2015/08,39,2015-08-01
Denmark,Managers,2015/03,32,2015-03-01
United Kingdom,Craft and related trades workers,2015/03,55,2015-03-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/03,31,2016-03-01
Italy,Armed forces occupations,2016/06,12,2016-06-01
Cyprus,"Plant and machine operators, and assemblers",2016/10,14,2016-10-01
Bulgaria,Armed forces occupations,2016/10,1,2016-10-01
Germany,Professionals,2015/03,1447,2015-03-01
Spain,Elementary occupations,2015/04,3070,2015-04-01
Bulgaria,Professionals,2015/05,1778,2015-05-01
Malta,Managers,2015/12,47,2015-12-01
Cyprus,Technicians and associate professionals,2016/01,215,2016-01-01
Spain,Clerical support workers,2016/03,4775,2016-03-01
Italy,Technicians and associate professionals,2016/04,13717,2016-04-01
Estonia,Professionals,2016/05,415,2016-05-01
Bulgaria,Craft and related trades workers,2016/06,746,2016-06-01
Poland,Managers,2016/08,724,2016-08-01
Sweden,Professionals,2016/08,759,2016-08-01
France,Technicians and associate professionals,2016/09,2338,2016-09-01
Italy,Professionals,2016/11,34689,2016-11-01
Hungary,Craft and related trades workers,2016/11,679,2016-11-01
Slovakia,Technicians and associate professionals,2016/06,223,2016-06-01
Estonia,Elementary occupations,2016/11,130,2016-11-01
Croatia,"Skilled agricultural, forestry and fishery workers",2015/06,171,2015-06-01
Austria,Service and sales workers,2016/07,95,2016-07-01
Estonia,Professionals,2015/04,598,2015-04-01
Latvia,Professionals,2015/05,219,2015-05-01
Cyprus,Service and sales workers,2015/12,50,2015-12-01
Cyprus,Craft and related trades workers,2016/01,25,2016-01-01
